Rk,Player,Nation,Pos,Squad,Age,Born,90s,Tkl,TklW,Def 3rd,Mid 3rd,Att 3rd,Tkl,Att,Tkl%,Past,Press,Succ,%,Def 3rd,Mid 3rd,Att 3rd,Blocks,Sh,ShSv,Pass,Int,Tkl+Int,Clr,Err
31,Federico Barba\Federico-Barba,it ITA,DF,Benevento,26,1993,29.5,34,20,24,8,2,10,24,41.7,14,300,91,30.3,173,104,23,52,18,0,34,57,91,117,4
32,Nicolò Barella\Nicolo-Barella,it ITA,MF,Inter,23,1997,32.2,61,41,25,28,8,16,60,26.7,44,568,154,27.1,161,266,141,46,8,0,38,32,93,13,0
33,Antonio Barreca\Antonio-Barreca,it ITA,DF,Fiorentina,25,1995,0.9,0,0,0,0,0,0,1,0,1,6,1,16.7,3,1,2,2,0,0,2,0,0,0,0
34,Musa Barrow\Musa-Barrow,gm GAM,FWMF,Bologna,21,1998,32.5,21,8,6,9,6,4,28,14.3,24,463,120,25.9,100,166,197,44,4,0,40,14,35,18,0
35,Paolo Bartolomei\Paolo-Bartolomei,it ITA,MF,Spezia,30,1989,3.6,7,2,3,1,3,1,2,50,1,73,12,16.4,19,36,18,3,0,0,3,0,7,1,0
36,Daniele Baselli\Daniele-Baselli,it ITA,MF,Torino,28,1992,4.4,11,10,2,6,3,5,9,55.6,4,103,36,35,36,47,20,5,0,0,5,6,17,6,0
37,Alessandro Bastoni\Alessandro-Bastoni,it ITA,DF,Inter,21,1999,32.5,44,26,18,23,3,17,30,56.7,13,296,87,29.4,141,124,31,48,20,0,28,37,81,87,1
38,Simone Bastoni\Simone-Bastoni,it ITA,DF,Spezia,23,1996,16.9,55,29,31,19,5,26,47,55.3,21,264,76,28.8,99,122,43,21,1,0,20,22,77,40,0
39,Bastos\Bastos,ao ANG,DF,Lazio,29,1991,0.7,4,2,2,1,1,0,1,0,1,23,9,39.1,15,7,1,3,0,0,3,0,4,1,0
40,Rodrigo Becão\Rodrigo-Becao,br BRA,DF,Udinese,24,1996,30.9,68,37,39,25,4,20,47,42.6,27,413,142,34.4,248,133,32,56,31,0,25,47,115,122,2
41,Valon Behrami\Valon-Behrami,ch SUI,MF,Genoa,35,1985,9.9,22,14,9,12,1,9,23,39.1,14,279,58,20.8,109,136,34,22,3,0,19,6,28,16,0
42,Andrea Belotti\Andrea-Belotti,it ITA,FW,Torino,26,1993,32.1,31,26,2,18,11,7,29,24.1,22,387,100,25.8,46,177,164,33,5,0,28,8,39,17,0
43,Ahmad Benali\Ahmad-Benali,ly LBY,MF,Crotone,28,1992,13.5,29,22,16,13,0,13,46,28.3,33,276,78,28.3,114,116,46,13,2,0,11,10,39,19,0
44,Ismaël Bennacer\Ismael-Bennacer,dz ALG,MF,Milan,22,1997,14.7,38,24,20,18,0,14,32,43.8,18,295,90,30.5,119,149,27,19,2,0,17,22,60,17,0
45,Rodrigo Bentancur\Rodrigo-Bentancur,uy URU,MF,Juventus,23,1997,25.8,74,45,27,38,9,15,54,27.8,39,537,158,29.4,169,274,94,56,16,0,40,48,122,45,1
46,Alessandro Berardi\Alessandro-Berardi,it ITA,GK,Hellas Verona,29,1991,0.3,0,0,0,0,0,0,0,,0,0,0,,0,0,0,0,0,0,0,0,0,0,0
47,Domenico Berardi\Domenico-Berardi,it ITA,FWMF,Sassuolo,25,1994,27.5,39,23,17,8,14,14,55,25.5,41,430,138,32.1,131,170,129,37,2,0,35,35,74,39,0
48,Álex Berenguer\Alex-Berenguer,es ESP,MF,Torino,25,1995,1.5,0,0,0,0,0,0,4,0,4,38,4,10.5,7,25,6,5,1,0,4,0,0,1,0
49,Bartosz Bereszyński\Bartosz-Bereszynski,pl POL,DF,Sampdoria,28,1992,29,72,46,42,23,7,22,59,37.3,37,427,141,33,205,163,59,78,21,1,57,34,106,80,3
50,Federico Bernardeschi\Federico-Bernardeschi,it ITA,DFMF,Juventus,26,1994,10.8,11,5,6,4,1,4,22,18.2,18,120,31,25.8,34,50,36,12,3,0,9,13,24,13,0
51,Marco Bertini\Marco-Bertini,it ITA,MF,Lazio,17,2002,0.1,1,1,1,0,0,0,0,,0,6,4,66.7,4,2,0,1,0,0,1,0,1,0,0
52,Daniel Bessa\Daniel-Bessa,it ITA,MFFW,Hellas Verona,27,1993,6.8,16,12,4,9,3,7,12,58.3,5,136,39,28.7,18,66,52,5,0,0,5,4,20,2,0
53,Cristiano Biraghi\Cristiano-Biraghi,it ITA,DF,Fiorentina,27,1992,31.1,42,20,22,11,9,20,40,50,20,241,63,26.1,90,99,52,45,9,0,36,19,61,71,0
54,Davide Biraschi\Davide-Biraschi,it ITA,DF,Genoa,26,1994,10.2,17,9,12,4,1,3,11,27.3,8,169,45,26.6,98,58,13,18,6,0,12,16,33,28,0
55,Jeremie Boga\Jeremie-Boga,ci CIV,FWMF,Sassuolo,23,1997,19.8,15,13,5,3,7,1,13,7.7,12,219,67,30.6,42,76,101,17,0,0,17,12,27,11,0
56,Giacomo Bonaventura\Giacomo-Bonaventura,it ITA,MF,Fiorentina,30,1989,25.1,40,29,16,18,6,12,43,27.9,31,360,97,26.9,112,172,76,34,2,0,32,38,78,16,0
57,Federico Bonazzoli\Federico-Bonazzoli,it ITA,FW,Sampdoria,23,1997,1.5,1,1,0,1,0,0,1,0,1,25,5,20,1,11,13,1,0,0,1,0,1,0,0
